dataset_id,module_a,module_b,mean_correlation,n_pairs
GSE282850_muscle_cell_aicar_palmitate,mitochondrial_biogenesis,nad_consumption_inflammation,-0.33075800940971106,2
GSE282850_muscle_cell_aicar_palmitate,mitochondrial_biogenesis,nad_consumption_repair,0.2977491246859102,4
GSE282850_muscle_cell_aicar_palmitate,mitochondrial_biogenesis,sirtuin_repair,0.17382670676846826,6
GSE282850_muscle_cell_aicar_palmitate,mitochondrial_biogenesis,mitochondrial_biogenesis,-0.5221002065029317,1
GSE282850_muscle_cell_aicar_palmitate,mitochondrial_biogenesis,oxidative_stress_repair,-0.16876578272518494,6
GSE282850_muscle_cell_aicar_palmitate,mitochondrial_biogenesis,nfkb_inflammation,-0.015514126803986505,8
GSE282850_muscle_cell_aicar_palmitate,mitochondrial_biogenesis,monocyte_macrophage,0.08141266085709073,4
GSE282850_muscle_cell_aicar_palmitate,mitochondrial_biogenesis,nutrient_sensing,-0.400182715578207,2
GSE282850_muscle_cell_aicar_palmitate,mitochondrial_biogenesis,stress_repair,0.43800836304035873,2
GSE282850_muscle_cell_aicar_palmitate,mitochondrial_biogenesis,mitochondrial_stress,-0.13411388244344763,4
GSE282850_muscle_cell_aicar_palmitate,oxidative_stress_repair,sirtuin_repair,-0.28549817922115295,9
GSE282850_muscle_cell_aicar_palmitate,oxidative_stress_repair,oxidative_stress_repair,0.2451308954931921,3
GSE282850_muscle_cell_aicar_palmitate,oxidative_stress_repair,stress_repair,-0.26476727688488105,3
GSE282850_muscle_cell_aicar_palmitate,nfkb_inflammation,sirtuin_repair,-0.025760223106111983,12
GSE282850_muscle_cell_aicar_palmitate,nfkb_inflammation,oxidative_stress_repair,-0.04072575501213236,12
GSE282850_muscle_cell_aicar_palmitate,nfkb_inflammation,nfkb_inflammation,-0.25600444257276916,6
GSE282850_muscle_cell_aicar_palmitate,nfkb_inflammation,nutrient_sensing,-0.005120306201825863,4
GSE282850_muscle_cell_aicar_palmitate,nfkb_inflammation,stress_repair,-0.024689562140323664,4
GSE282850_muscle_cell_aicar_palmitate,innate_immune_inflammation,nad_salvage_core,-0.012039395464532384,15
GSE282850_muscle_cell_aicar_palmitate,innate_immune_inflammation,nad_de_novo,-0.08826399771119922,9
GSE282850_muscle_cell_aicar_palmitate,innate_immune_inflammation,nad_consumption_inflammation,-0.638724005098176,3
GSE282850_muscle_cell_aicar_palmitate,innate_immune_inflammation,nad_consumption_repair,0.03997505696555048,6
GSE282850_muscle_cell_aicar_palmitate,innate_immune_inflammation,sirtuin_repair,0.24956417296847352,9
GSE282850_muscle_cell_aicar_palmitate,innate_immune_inflammation,mitochondrial_biogenesis,0.21899912569563473,6
GSE282850_muscle_cell_aicar_palmitate,innate_immune_inflammation,oxidative_stress_repair,-0.31358801171588513,9
